Date/Time: 3/4/2016 3:02:21 PM,,
Material:  Al 6061 T6,,
Time (ms),Displacement (um),Load (N)
82326,824,480.581051
82426,825,480.938125
82526,826,480.930305
82626,827,481.2548
82726,828,481.696581
82826,829,482.310384
82926,830,482.43549
83026,831,482.689612
83126,832,483.092298
83226,833,483.708707
83326,834,484.087935
83426,835,484.256046
83526,836,484.325115
83626,837,484.766897
83726,838,485.127881
83826,839,485.581391
83926,840,486.050539
84026,841,486.204316
84126,842,486.489714
84226,843,486.992746
84326,844,487.503596
84426,845,487.886734
84526,846,487.914101
84626,847,488.143462
84726,848,488.37543
84826,849,489.171679
84926,850,489.438833
85026,851,489.732051
85126,852,489.596519
85226,853,489.91971
85326,854,490.261146
85426,855,491.009177
85526,856,491.319336
85626,857,491.574762
85726,858,491.695958
85826,859,492.139043
85926,860,492.37492
86026,861,492.695505
86126,862,492.776303
86226,863,492.924867
86326,864,493.1021
86426,865,493.365345
86526,866,493.519121
86626,867,493.631196
86726,868,493.662472
86826,869,494.082099
86926,870,494.496514
87026,871,495.006061
87126,872,495.424385
87226,873,495.450449
87326,874,495.754092
87426,875,496.219331
87526,876,496.949117
87626,877,497.273612
87726,878,497.734941
87826,879,497.98776
87926,880,498.365685
88026,881,498.759248
88126,882,499.330046
88226,883,499.423875
88326,884,499.77313
88426,885,500.303529
88526,886,500.880842
88626,887,501.370841
88726,888,501.580655
88826,889,501.879085
88926,890,502.297409
89026,891,503.021983
89126,892,503.454642
89226,893,503.767408
89326,894,503.695732
89426,895,504.044987
89526,896,504.486769
89626,897,505.211342
89726,898,505.615331
89826,899,505.853815
89926,900,505.945038
90026,901,506.385516
90126,902,506.741287
90226,903,507.286021
90326,904,507.579239
90426,905,507.610515
90526,906,508.001472
90626,907,508.578785
90726,908,509.011444
90826,909,509.161311
90926,910,509.38937
91026,911,509.712561
91126,912,510.331576
91226,913,510.719927
91326,914,511.206016
91426,915,511.17083
91526,916,511.569606
91626,917,512.05309
91726,918,512.649951
91826,919,512.914499
91926,920,513.138647
92026,921,513.554365
92126,922,514.018301
92226,923,514.47572
92326,924,514.912289
92426,925,515.071278
92526,926,515.45181
92626,927,515.854495
92726,928,516.431808
92826,929,516.739361
92926,930,516.771941
93026,931,516.884015
93126,932,517.263244
93226,933,517.914839
93326,934,518.318828
93426,935,518.793189
93526,936,519.228454
93626,937,519.268853
93726,938,519.700209
93826,939,520.342682
93926,940,520.592894
94026,941,520.96691
94126,942,520.874383
94226,943,521.443877
94326,944,521.871324
94426,945,522.382174
94526,946,522.593291
94626,947,522.981642
94726,948,523.11978
94826,949,523.830018
94926,950,524.254858
95031,951,524.609326
95126,952,524.436002
95226,953,524.799592
95326,954,525.310442
95426,955,525.876027
95526,956,526.291744
95626,957,526.192702
95726,958,526.549776
95826,959,526.840387
95926,960,527.598844
96026,961,527.811264
96126,962,528.337753
96226,963,528.305173
96326,964,528.913763
96426,965,529.431129
96526,966,530.033203
96626,967,530.611819
96726,968,530.751261
96826,969,530.825542
96926,970,531.419797
97026,971,531.702589
97126,972,532.225169
97226,973,532.3607
97326,974,532.643493
97426,975,533.160859
97526,976,533.572667
97626,977,534.023571
97726,978,534.246416
97826,979,534.380645
97926,980,534.630857
98026,981,535.079155
98126,982,535.737266
98226,983,536.014845
98326,984,536.145164
98426,985,536.869738
98526,986,536.842371
98626,987,537.534365
98726,988,537.861465
98826,989,538.051731
98926,990,538.367103
99026,991,539.081251
99126,992,539.506091
99226,993,540.117287
99326,994,540.297128
99426,995,540.445691
99526,996,540.994334
99626,997,541.231515
99726,998,541.70327
99826,999,542.025158
99926,1000,542.056434
100026,1001,542.42654
100126,1002,542.771886
100226,1003,543.448241
100326,1004,543.802709
100426,1005,543.699757
100526,1006,543.976033
100626,1007,544.347442
100726,1008,544.787921
100826,1009,545.096777
100926,1010,545.108505
101026,1011,544.933878
101126,1012,545.12675
101226,1013,545.354808
101326,1014,545.517707
101426,1015,545.491643
101526,1016,545.133266
101626,1017,545.27792
101726,1018,545.648026
101826,1019,545.866962
101926,1020,546.044196
102026,1021,546.055924
102126,1022,546.128903
102226,1023,546.517254
102326,1024,547.145391
102426,1025,547.411242
102526,1026,547.396907
102626,1027,547.604114
102726,1028,547.961188
102826,1029,548.814778
102926,1030,549.397304
103026,1031,550.030654
103126,1032,550.777382
103226,1033,551.791264
103326,1034,552.699587
103426,1035,553.378549
103526,1036,554.062724
103626,1037,554.418495
103726,1038,554.797723
103826,1039,555.454531
103926,1040,556.039663
104026,1041,556.558333
104126,1042,556.678226
104226,1043,557.110886
104326,1044,557.603491
104426,1045,558.242055
104526,1046,558.428411
104626,1047,558.902772
104726,1048,559.175139
104826,1049,559.502239
104926,1050,560.088675
105026,1051,560.452265
105126,1052,560.793701
105226,1053,561.028275
105326,1054,561.390562
105426,1055,562.033034
105526,1056,562.537369
105626,1057,562.734151
105726,1058,563.099044
105826,1059,563.433964
105926,1060,563.897899
106026,1061,564.490851
106126,1062,564.731941
106226,1063,564.907872
106326,1064,565.098137
106426,1065,565.601169
106526,1066,566.239732
106626,1067,566.540769
106726,1068,566.848322
106826,1069,567.209305
106926,1070,567.660209
107026,1071,568.354809
107126,1072,568.571139
107226,1073,569.011617
107326,1074,569.121085
107426,1075,569.644967
107526,1076,570.037228
