Date/Time: 3/4/2016 3:02:21 PM
Material:  Al 6061 T6
Time (ms)	Displacement (um)	Load (N)
31926	320.000000	257.590900	
32026	321.000000	258.049623	
32126	322.000000	258.358479	
32226	323.000000	258.744223	
32326	324.000000	258.612601	
32426	325.000000	258.841962	
32526	326.000000	259.239435	
32626	327.000000	259.805020	
32726	328.000000	260.199886	
32826	329.000000	260.469647	
32926	330.000000	260.390152	
33026	331.000000	260.786322	
33126	332.000000	261.394911	
33226	333.000000	261.598209	
33326	334.000000	261.864060	
33426	335.000000	262.128607	
33526	336.000000	262.290203	
33626	337.000000	262.468740	
33726	338.000000	263.051266	
33826	339.000000	263.396611	
33926	340.000000	263.456558	
34026	341.000000	263.713287	
34126	342.000000	264.104244	
34226	343.000000	264.565573	
34326	344.000000	264.951317	
34426	345.000000	264.947408	
34526	346.000000	265.050360	
34626	347.000000	265.518205	
34726	348.000000	266.121582	
34826	349.000000	266.515145	
34926	350.000000	266.939985	
35026	351.000000	266.821395	
35126	352.000000	267.307485	
35226	353.000000	267.810516	
35326	354.000000	268.617191	
35426	355.000000	268.894770	
35526	356.000000	269.513785	
35626	357.000000	269.872163	
35726	358.000000	270.269636	
35826	359.000000	270.938172	
35926	360.000000	271.361709	
36026	361.000000	271.593677	
36126	362.000000	272.105830	
36226	363.000000	272.762638	
36326	364.000000	273.268276	
36426	365.000000	273.785642	
36526	366.000000	274.005881	
36626	367.000000	274.256094	
36726	368.000000	274.787795	
36826	369.000000	275.511066	
36926	370.000000	275.963273	
37026	371.000000	276.474123	
37126	372.000000	276.504097	
37226	373.000000	277.018857	
37326	374.000000	277.597473	
37426	375.000000	278.297286	
37526	376.000000	278.729945	
37626	377.000000	278.848536	
37726	378.000000	279.269466	
37826	379.000000	279.850689	
37926	380.000000	280.255981	
38026	381.000000	280.632603	
38126	382.000000	280.816353	
38226	383.000000	281.147363	
38326	384.000000	281.660820	
38426	385.000000	282.291564	
38526	386.000000	282.842813	
38626	387.000000	283.332813	
38726	388.000000	283.374515	
38826	389.000000	283.725073	
38926	390.000000	284.448343	
39026	391.000000	284.946162	
39126	392.000000	285.399672	
39226	393.000000	285.621214	
39326	394.000000	285.828422	
39426	395.000000	286.186799	
39526	396.000000	286.856638	
39626	397.000000	287.354457	
39726	398.000000	287.819696	
39826	399.000000	288.006052	
39926	400.000000	288.354004	
40026	401.000000	289.167194	
40126	402.000000	289.562061	
40226	403.000000	289.896981	
40326	404.000000	290.437805	
40426	405.000000	290.990357	
40526	406.000000	291.657591	
40626	407.000000	292.210143	
40726	408.000000	292.627164	
40826	409.000000	292.602403	
40926	410.000000	293.336099	
41026	411.000000	294.041125	
41126	412.000000	294.614529	
41226	413.000000	295.232241	
41326	414.000000	295.247879	
41426	415.000000	295.681841	
41526	416.000000	296.265671	
41626	417.000000	297.076255	
41726	418.000000	297.418994	
41826	419.000000	298.087530	
41926	420.000000	298.382051	
42026	421.000000	299.053194	
42126	422.000000	299.715215	
42226	423.000000	300.429363	
42326	424.000000	300.747341	
42426	425.000000	301.281649	
42526	426.000000	301.650452	
42626	427.000000	302.500132	
42726	428.000000	303.103509	
42826	429.000000	303.349812	
42926	430.000000	303.748588	
43026	431.000000	304.483587	
43126	432.000000	305.212070	
43226	433.000000	305.854543	
43326	434.000000	306.556962	
43426	435.000000	306.624728	
43526	436.000000	307.281536	
43626	437.000000	307.913583	
43726	438.000000	308.773689	
43826	439.000000	309.405736	
43926	440.000000	310.082091	
44026	441.000000	310.327091	
44126	442.000000	310.860096	
44226	443.000000	311.492143	
44326	444.000000	312.154163	
44426	445.000000	312.842248	
44526	446.000000	313.187593	
44626	447.000000	313.505572	
44726	448.000000	314.260119	
44826	449.000000	314.905198	
44926	450.000000	315.314399	
45026	451.000000	315.612830	
45126	452.000000	316.265728	
45226	453.000000	316.932961	
45326	454.000000	317.512881	
45426	455.000000	318.202268	
45526	456.000000	318.327375	
45626	457.000000	318.903385	
45726	458.000000	319.756974	
45826	459.000000	320.287373	
45926	460.000000	321.047132	
46026	461.000000	321.722185	
46126	462.000000	321.756068	
46226	463.000000	322.573168	
46326	464.000000	323.283406	
46426	465.000000	324.092687	
46526	466.000000	324.538378	
46626	467.000000	324.933245	
46726	468.000000	325.246011	
46826	469.000000	325.887180	
46926	470.000000	326.731647	
47026	471.000000	327.155184	
47126	472.000000	327.577418	
47226	473.000000	328.128667	
47326	474.000000	328.861060	
47426	475.000000	329.635155	
47526	476.000000	330.315420	
47626	477.000000	330.462680	
47726	478.000000	331.043903	
47826	479.000000	331.617307	
47926	480.000000	332.584274	
48026	481.000000	333.298422	
48126	482.000000	333.947411	
48226	483.000000	333.974777	
48326	484.000000	334.696745	
48426	485.000000	335.281877	
